run,K,alpha_word,alpha_ent,evaluation_result
17,100,0.3,0.30,41.9402
17,100,0.3,0.40,57.228
17,100,0.4,0.30,42.2714
17,100,0.4,0.40,57.228
17,100,0.5,0.30,47.717099999999995
17,100,0.5,0.40,57.228
17,200,0.2,0.30,50.6575
17,200,0.2,0.40,57.228
17,200,0.3,0.30,50.434200000000004
17,200,0.3,0.40,57.228
17,200,0.4,0.30,51.7744
17,200,0.4,0.40,57.228
17,200,0.5,0.30,49.12029999999999
17,200,0.5,0.40,57.228
18,20,0.2,0.30,52.564699999999995
18,20,0.2,0.40,57.228
18,20,0.3,0.30,52.564699999999995
18,20,0.3,0.40,57.228
18,20,0.4,0.30,53.2694
18,20,0.4,0.40,57.228
18,20,0.5,0.30,54.6433
18,20,0.5,0.40,57.228
18,50,0.2,0.30,47.664899999999996
18,50,0.2,0.40,57.228
18,50,0.3,0.30,48.4593
18,50,0.3,0.40,57.228
18,50,0.4,0.30,45.149899999999995
18,50,0.4,0.40,57.228
18,50,0.5,0.30,46.2488
18,50,0.5,0.40,57.228
18,100,0.2,0.30,41.9402
18,100,0.2,0.40,57.228
18,100,0.3,0.30,41.9402
18,100,0.3,0.40,57.228
18,100,0.4,0.30,42.2714
18,100,0.4,0.40,57.228
18,100,0.5,0.30,47.717099999999995
18,100,0.5,0.40,57.228
18,200,0.2,0.30,50.6575
18,200,0.2,0.40,57.228
18,200,0.3,0.30,50.434200000000004
18,200,0.3,0.40,57.228
18,200,0.4,0.30,51.7744
18,200,0.4,0.40,57.228
18,200,0.5,0.30,49.12029999999999
18,200,0.5,0.40,57.228
19,20,0.2,0.30,52.564699999999995
19,20,0.2,0.40,57.228
19,20,0.3,0.30,52.564699999999995
19,20,0.3,0.40,57.228
19,20,0.4,0.30,53.2694
19,20,0.4,0.40,57.228
19,20,0.5,0.30,54.6433
19,20,0.5,0.40,57.228
19,50,0.2,0.30,47.664899999999996
19,50,0.2,0.40,57.228
19,50,0.3,0.30,48.4593
19,50,0.3,0.40,57.228
19,50,0.4,0.30,45.149899999999995
19,50,0.4,0.40,57.228
19,50,0.5,0.30,46.2488
19,50,0.5,0.40,57.228
19,100,0.2,0.30,41.9402
19,100,0.2,0.40,57.228
19,100,0.3,0.30,41.9402
19,100,0.3,0.40,57.228
19,100,0.4,0.30,42.2714
19,100,0.4,0.40,57.228
19,100,0.5,0.30,47.717099999999995
19,100,0.5,0.40,57.228
19,200,0.2,0.30,50.6575
19,200,0.2,0.40,57.228
19,200,0.3,0.30,50.434200000000004
19,200,0.3,0.40,57.228
19,200,0.4,0.30,51.7744
19,200,0.4,0.40,57.228
19,200,0.5,0.30,49.12029999999999
19,200,0.5,0.40,57.228
20,20,0.2,0.30,52.564699999999995
20,20,0.2,0.40,57.228
20,20,0.3,0.30,52.564699999999995
20,20,0.3,0.40,57.228
20,20,0.4,0.30,53.2694
20,20,0.4,0.40,57.228
20,20,0.5,0.30,54.6433
20,20,0.5,0.40,57.228
20,50,0.2,0.30,47.664899999999996
20,50,0.2,0.40,57.228
20,50,0.3,0.30,48.4593
20,50,0.3,0.40,57.228
20,50,0.4,0.30,45.149899999999995
20,50,0.4,0.40,57.228
20,50,0.5,0.30,46.2488
20,50,0.5,0.40,57.228
20,100,0.2,0.30,41.9402
20,100,0.2,0.40,57.228
20,100,0.3,0.30,41.9402
20,100,0.3,0.40,57.228
20,100,0.4,0.30,42.2714
20,100,0.4,0.40,57.228
20,100,0.5,0.30,47.717099999999995
20,100,0.5,0.40,57.228
20,200,0.2,0.30,50.6575
20,200,0.2,0.40,57.228
20,200,0.3,0.30,50.434200000000004
20,200,0.3,0.40,57.228
20,200,0.4,0.30,51.7744
20,200,0.4,0.40,57.228
20,200,0.5,0.30,49.12029999999999
20,200,0.5,0.40,57.228
